"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-2.07170184804698,-0.84379972550273,0.00156726212434631,0.0182900285475744,"9","NAT1","N-acetyltransferase 1"
-2.58042723203635,1.9595072807474,0.000147965224309241,0.00264725331273887,"32","ACACB","acetyl-CoA carboxylase beta"
-2.97284131297699,0.209218863638195,1.16237227971342e-05,0.000287962701622968,"59","ACTA2","actin alpha 2, smooth muscle"
-0.98139468003279,-0.0686910409323334,0.00342312649605885,0.0332057713689422,"67","ACTBP7","ACTB pseudogene 7"
-3.08993615378959,1.20731505723005,1.0881620205149e-08,5.39156139043911e-07,"85",NA,NA
-1.65768332699347,1.75483787472416,2.54777014072501e-06,7.38628443067691e-05,"99",NA,NA
0.482577569327608,3.69796512311345,0.00156494301009928,0.0182722396151257,"159","ADSS2","adenylosuccinate synthase 2"
-0.966892611519215,0.841326259317175,0.00141086781581399,0.0168848782329847,"165","AEBP1","AE binding protein 1"
-1.34911263974812,-1.80062814202366,0.00256358289043472,0.0266441096976014,"168",NA,NA
-1.82008393515568,-0.67335692084208,8.64003146225e-06,0.000221937791415785,"169","AF8T","AF8 temperature sensitivity complementing"
0.497787820239974,5.95723710870832,0.00410415835509412,0.0380922892949592,"178","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
0.519323319372337,5.14667899356519,0.000140366834346229,0.00254097127686599,"181","AGRP","agouti related neuropeptide"
-1.22065128409695,1.2748405880578,0.00109971160928738,0.0138914120316027,"188",NA,NA
-0.803537038440199,3.65114487030844,0.00388801218635492,0.0366183532012698,"198",NA,NA
0.499810832840429,5.62568188743556,0.00208034092116841,0.0226561050581059,"214","ALCAM","activated leukocyte cell adhesion molecule"
-1.9087314935094,5.09216945428915,4.22306754798104e-10,2.78989433701391e-08,"216","ALDH1A1","aldehyde dehydrogenase 1 family member A1"
-1.38516289444321,3.99375337969692,2.87233547236514e-05,0.000642989216257786,"230","ALDOC","aldolase, fructose-bisphosphate C"
-3.2998461630117,-1.52556303595137,2.36316629939237e-06,6.93859428135768e-05,"259","AMBP","alpha-1-microglobulin/bikunin precursor"
-2.76167235322056,2.06467709622168,2.04404480163885e-06,6.08712305565765e-05,"294",NA,NA
0.862256436169651,5.80675608400581,0.00157385879653851,0.0183576934208119,"302","ANXA2","annexin A2"
0.630266951319312,3.48474813841495,0.000500405042526293,0.00729506146333511,"305","ANXA2P3","annexin A2 pseudogene 3"
-1.48760927853791,5.5285326595609,1.4424330558254e-05,0.000347241214171999,"308","ANXA5","annexin A5"
0.527718097384456,6.37904465620835,0.00103177341284222,0.0132408925383733,"326","AIRE","autoimmune regulator"
0.712145498155427,4.18754086347646,0.000809620178287651,0.0108785317935904,"337","APOA4","apolipoprotein A4"
-1.93781665377915,-2.1503558213712,3.52692936131132e-05,0.00076856972527533,"367","AR","androgen receptor"
1.3253194840254,1.22788190815648,0.00138226004734097,0.0166464947555625,"374","AREG","amphiregulin"
0.469149878924602,7.42138118476667,0.000919027228853261,0.01206649685399,"381","ARF5","ADP ribosylation factor 5"
-1.4519157874791,-0.168189027220847,0.000546570537111672,0.0078682884459595,"386",NA,NA
-1.07333154797196,5.47678654735498,0.000100396095087894,0.00191226696443304,"389","RHOC","ras homolog family member C"
0.54097258869569,7.62825108507655,0.00413043543537522,0.0382589486943096,"393","ARHGAP4","Rho GTPase activating protein 4"
-1.31680836465592,-0.340177726390556,8.81120556838084e-06,0.000225578636990062,"478","ATP1A3","ATPase Na+/K+ transporting subunit alpha 3"
1.34089438307857,5.91887019896913,0.000429955347420841,0.00645635103671139,"504","ATP5F1AP2","ATP synthase F1 subunit alpha pseudogene 2"
1.02124413105005,4.69903867315527,0.00533650969469975,0.0462618242387433,"506","ATP5F1B","ATP synthase F1 subunit beta"
1.54831147898283,-0.268692668286872,0.00205294716953096,0.0224641863053388,"509","ATP5F1C","ATP synthase F1 subunit gamma"
-0.466109775326398,5.66263104776548,0.000133083377729207,0.00242824353491625,"520","ATP5MC2P1","ATP synthase membrane subunit c locus 2 pseudogene 1"
-0.855027103456385,1.31228960399969,0.00322978180235485,0.0316507602882088,"602","BCL3","BCL3 transcription coactivator"
-7.39930698819012,0.931157171182675,1.07434863237484e-09,6.46577881107263e-08,"613","BCR","BCR activator of RhoGEF and GTPase"
2.07729888593102,-1.77777423656291,0.00210581151630128,0.0229009492714127,"656","BMP8B","bone morphogenetic protein 8b"
1.3541178488074,9.52788457012379,1.4977802611486e-05,0.000359811579977078,"658","BMPR1B","bone morphogenetic protein receptor type 1B"
0.70141625310934,5.09273614374618,0.00365533377051971,0.0350150514101034,"707",NA,NA
-2.31217903437302,1.25475738274303,2.26015733512698e-05,0.000518056003335686,"713","C1QB","complement C1q B chain"
-3.47028662807538,1.52701207463092,2.15244223265571e-10,1.53203241265495e-08,"728","C5AR1","complement C5a receptor 1"
-2.38612016384935,-1.57703330211923,2.18951631513304e-05,0.000504378557965015,"731","C8A","complement C8 alpha chain"
-2.85295748825687,3.74292880568992,7.39988659393229e-10,4.64168503609787e-08,"760","CA2","carbonic anhydrase 2"
0.600391109563885,6.84769468831531,0.000510236772988678,0.00741957204997452,"817","CAMK2D","calcium/calmodulin dependent protein kinase II delta"
-3.94057245790349,3.90726631582136,1.21584750331258e-12,1.54432785089261e-10,"818","CAMK2G","calcium/calmodulin dependent protein kinase II gamma"
-1.5111765166449,5.65974071918475,6.78547158000156e-06,0.000178487404604389,"865","CBFB","core-binding factor subunit beta"
